Name,Developer,Publisher,Date Released,Review Category,Review Score,MetaCritic Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?,Category
Counter-Strike: Global Offensive,Valve,Valve,"Aug 21, 2012",Very Positive,88,83,7219098,0,,167,No Rating,N,N,Action
The Outlast Trials,Red Barrels,Red Barrels,"May 18, 2023",Overwhelmingly Positive,95,,3493,$29.99,,0,No Rating,N,Y,Action
Starship Troopers: Extermination,Offworld Industries,Offworld Industries,"May 17, 2023",Very Positive,92,,3972,$24.99,,0,No Rating,N,Y,Action
Call of Duty®: Modern Warfare® II,Infinity Ward,Activision,"Oct 27, 2022",Mixed,59,,211200,$69.99,,24,Mature,N,N,Action
Destiny 2,Bungie,Bungie ,"Oct 1, 2019",Very Positive,83,83,541811,0,,23,Teen,N,N,Action
V Rising,Stunlock Studios,Stunlock Studios,"May 17, 2022",Very Positive,88,,56290,$19.99,$15.99,0,Teen,N,Y,Action
Rust,Facepunch Studios,Facepunch Studios,"Feb 8, 2018",Very Positive,87,69,749652,$39.99,$26.79,90,No Rating,N,N,Action
Lost Ark,Smilegate RPG,Amazon Games,"Feb 11, 2022",Mostly Positive,71,,192484,0,,156,Mature,N,N,Action
Warframe,Digital Extremes,Digital Extremes,"Mar 25, 2013",Very Positive,86,69,530884,0,,193,Mature,N,N,Action
STAR WARS Jedi: Survivor™,Respawn,Electronic Arts,"Apr 27, 2023",Mixed,60,,25374,$69.99,,53,Teen,N,N,Action
Mortal Kombat 11,NetherRealm Studios,Warner Bros. Games,"Apr 23, 2019",Very Positive,87,82,55222,$49.99,$4.99,58,Mature,N,N,Action
War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,"Aug 15, 2013",Mostly Positive,74,81,414174,0,,53,Teen,N,N,Action
Far Cry® 6,Ubisoft Toronto,Ubisoft,"May 11, 2023",Mixed,69,,2889,$59.99,$15.00,0,Mature,N,N,Action
Apex Legends™,Respawn Entertainment,Electronic Arts,"Nov 4, 2020",Very Positive,82,88,651465,0,,12,Teen,N,N,Action
Tom Clancy’s The Division® 2,Ubisoft,Ubisoft,"Jan 12, 2023",Mixed,63,,5258,0,,0,Mature,N,N,Action
SMITE®,Titan Forge Games,Hi-Rez Studios,"Sep 8, 2015",Mostly Positive,79,83,109090,0,,311,Teen,N,N,Action
Metro Exodus,4A Games,Deep Silver,"Feb 14, 2019",Very Positive,89,85,76235,$29.99,$6.89,68,Mature,N,N,Action
Grand Theft Auto V,Rockstar North,Rockstar Games,"Apr 14, 2015",Very Positive,86,96,1410682,$59.99,,45,Teen,N,N,Action
Hogwarts Legacy,Avalanche Software,Warner Bros. Games,"Feb 10, 2023",Very Positive,92,83,146253,$59.99,$14.99,127,Mature,N,N,Action
Mass Effect™ Legendary Edition,BioWare,Electronic Arts,"May 14, 2021",Very Positive,91,86,33080,$19.99,,221,Mature,N,N,Action
Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,"Jun 14, 2016",Very Positive,80,,478269,$39.99,$26.79,160,No Rating,N,N,Action
Hell Let Loose,Black Matter Pty Ltd,Team17,"Jul 27, 2021",Very Positive,88,79,63035,$19.99,,0,Mature,Y,N,Action
Call of Duty®: Modern Warfare® II - Demon Deer: Pro Pack,Infinity Ward,Unknown,"May 19, 2023",not Enough Reviews,,,9,$59.99,,42,Mature,N,N,Action
ELDEN RING,FromSoftware Inc.,FromSoftware Inc.,"Feb 24, 2022",Very Positive,92,94,504080,$19.99,,0,Teen,N,N,Action
FINAL FANTASY XIV Online,Square Enix,Square Enix,"Feb 18, 2014",Very Positive,88,83,60266,0,,37,Teen,N,N,Action
PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.","Dec 21, 2017",Mixed,57,,2176214,$19.99,,0,Mature,N,N,Action
Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal,Ubisoft,"Dec 1, 2015",Very Positive,86,,958653,0,,191,Teen,N,N,Action
STAR WARS™: The Old Republic™,BioWare,Electronic Arts,"Dec 20, 2011",Very Positive,89,85,52067,$59.99,$47.99,47,Mature,N,N,Action
Dead Space,Motive,Electronic Arts,"Jan 27, 2023",Very Positive,92,87,22919,$59.99,$14.99,34,Mature,N,N,Action
Battlefield™ 2042,DICE,Electronic Arts,"Nov 19, 2021",Mostly Negative,38,,141230,$29.99,,28,No Rating,N,Y,Action
Sons Of The Forest,Endnight Games Ltd,Newnight ,"Feb 23, 2023",Very Positive,83,,114919,0,,520,No Rating,N,N,Action
Team Fortress 2,Valve,Valve,"Oct 10, 2007",Very Positive,93,92,953663,$9.99,,0,Teen,Y,N,Action
V Rising - Sinister Evolution Pack,Stunlock Studios,Stunlock Studios,"May 17, 2023",Very Positive,98,,91,0,,45,Teen,N,N,Action
World of Warships,Wargaming Group Limited,Wargaming Group Limited,"Nov 15, 2017",Very Positive,80,81,120821,$59.99,$8.99,81,Mature,N,N,Action
Borderlands 3,Gearbox Software,2K,"Mar 13, 2020",Very Positive,84,81,91655,$9.99,,213,Teen,N,N,Action
Sea of Thieves 2023 Edition,Rare Ltd,Xbox Game Studios,"Jun 3, 2020",Very Positive,90,,241984,$39.99,,1,No Rating,N,Y,Action
Ready or Not,VOID Interactive,VOID Interactive,"Dec 17, 2021",Very Positive,92,,85075,$9.99,,0,Teen,N,N,Action
Black Desert,Pearl Abyss,Pearl Abyss,"May 24, 2017",Mostly Positive,76,73,47094,$14.99,,15,No Rating,N,Y,Action
Demonologist,Clock Wizard Games,Clock Wizard Games,"Mar 27, 2023",Very Positive,92,,5502,$14.99,,98,Mature,N,N,Action
Call of Duty®: Black Ops III,Treyarch,Activision,"Nov 5, 2015",Very Positive,86,73,99914,$29.99,$2.99,50,Mature,N,N,Action
Titanfall® 2,Respawn Entertainment,Electronic Arts,"Oct 28, 2016",Very Positive,94,86,139607,$49.99,$16.49,61,Mature,N,N,Action
Days Gone,Bend Studio,PlayStation PC LLC,"May 17, 2021",Very Positive,92,,40777,$69.99,$20.99,41,Teen,N,N,Action
Need for Speed™ Unbound,Criterion Games,Electronic Arts,"Dec 1, 2022",Mixed,63,,10832,$59.99,,39,No Rating,N,N,Action
Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Mar 23, 2023",Overwhelmingly Positive,97,,50448,$19.99,,0,No Rating,N,Y,Action
Shadows of Doubt,ColePowered Games,Fireshine Games,"Apr 24, 2023",Very Positive,92,,2825,$39.99,$29.99,39,Teen,N,N,Action
GUILTY GEAR -STRIVE-,Arc System Works,Arc System Works,"Jun 11, 2021",Very Positive,91,85,26924,0,,127,No Rating,N,N,Action
Path of Exile,Grinding Gear Games,Grinding Gear Games,"Oct 23, 2013",Very Positive,87,86,201252,$59.99,,106,Teen,N,N,Action
Total War: WARHAMMER III,CREATIVE ASSEMBLY,SEGA,"Feb 16, 2022",Mostly Positive,73,85,50342,$13.99,,0,No Rating,N,Y,Action
Phasmophobia,Kinetic Games,Kinetic Games,"Sep 18, 2020",Overwhelmingly Positive,96,,450760,$39.99,,75,Mature,N,N,Action
The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,"Oct 27, 2016",Very Positive,94,74,129118,$24.99,,4,No Rating,N,Y,Action
BeamNG.drive,BeamNG,BeamNG,"May 29, 2015",Overwhelmingly Positive,97,,160735,0,,0,No Rating,N,N,Action
Dota 2,Valve,Valve,"Jul 9, 2013",Very Positive,82,90,1983409,0,,0,Teen,N,N,Action
Star Trek Online,Cryptic Studios,Gearbox Publishing,"Feb 2, 2010",Mostly Positive,78,66,17861,$39.99,$4.79,69,Mature,N,N,Action
Dragon Age™ Inquisition,BioWare,Electronic Arts,"Nov 18, 2014",Mostly Positive,76,85,10886,$19.99,$5.99,164,Teen,N,N,Action
theHunter: Call of the Wild™,Expansive Worlds,Expansive Worlds,"Feb 16, 2017",Very Positive,88,,109314,$39.99,,41,Teen,N,N,Action
Grounded,Obsidian Entertainment,Xbox Game Studios,"Sep 27, 2022",Very Positive,89,83,43438,$29.99,$7.49,0,Mature,N,N,Action
Dragon Age II: Ultimate Edition,BioWare,Electronic Arts,"Mar 8, 2011",Very Positive,81,82,3126,$59.99,$44.99,42,Mature,N,N,Action
Atomic Heart,Mundfish,Focus Entertainment,"Feb 20, 2023",Very Positive,85,75,16662,0,,57,Everyone 10+,N,N,Action
Brawlhalla,Blue Mammoth Games,Ubisoft,"Oct 17, 2017",Very Positive,83,,322687,$19.99,,237,Teen,N,N,Action
Age of Empires II: Definitive Edition,Forgotten Empires,Xbox Game Studios,"Nov 14, 2019",Very Positive,94,84,109163,$59.99,,51,Mature,N,N,Action
Red Dead Redemption 2,Rockstar Games,Rockstar Games,"Dec 5, 2019",Very Positive,90,93,368880,$59.99,$29.99,47,Teen,N,N,Action
Tiny Tina's Wonderlands,Gearbox Software,2K,"Jun 23, 2022",Mostly Positive,76,,8160,0,,20,No Rating,N,N,Action
RuneScape ®,Jagex Ltd,Jagex Ltd,"Oct 14, 2020",Very Positive,87,,20646,$24.99,,0,Mature,Y,N,Action
Warframe: TennoCon 2023 Digital Pack,Digital Extremes,Digital Extremes,"May 18, 2023",Positive,86,,15,$19.99,,0,Mature,N,N,Action
The Elder Scrolls® Online,ZeniMax Online Studios,Bethesda Softworks,"Apr 4, 2014",Very Positive,83,80,110735,$29.99,,69,No Rating,N,N,Action
Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,"May 13, 2020",Overwhelmingly Positive,97,85,166419,$59.99,$14.99,54,Teen,N,N,Action
Jurassic World Evolution 2,Frontier Developments,Frontier Developments,"Nov 9, 2021",Very Positive,86,77,15707,$39.99,,37,Mature,N,N,Action
Hunt: Showdown,Crytek,Crytek,"Aug 27, 2019",Very Positive,83,81,127458,$49.99,,0,Teen,Y,N,Action
Destiny 2: Lightfall,Bungie,Bungie,"Feb 28, 2023",Mostly Negative,33,,6505,$19.99,$3.99,49,No Rating,N,N,Action
Metro 2033 Redux,4A Games,Deep Silver,"Aug 25, 2014",Very Positive,89,,62129,0,,0,No Rating,N,Y,Action
VRChat,VRChat Inc.,VRChat Inc.,"Feb 1, 2017",Mostly Positive,72,,195459,$29.99,,0,Mature,Y,N,Action
Call of Duty®: Modern Warfare® II - BlackCell (Season 03),Infinity Ward,Activision,"Apr 12, 2023",Mixed,56,,595,$39.99,,133,Teen,N,N,Action
New World,Amazon Games,Amazon Games,"Sep 28, 2021",Mixed,69,70,218030,$39.99,$19.99,20,Teen,N,N,Action
It Takes Two,Hazelight,Electronic Arts,"Mar 25, 2021",Overwhelmingly Positive,95,89,107679,0,,0,Everyone 10+,N,N,Action
Omega Strikers,Odyssey Interactive,Odyssey Interactive,"Sep 16, 2022",Very Positive,86,,15994,$39.99,,41,Mature,N,N,Action
Chivalry 2,Torn Banner Studios,Tripwire Presents,"Jun 12, 2022",Very Positive,82,82,21641,$19.99,,104,No Rating,N,N,Action
Raft,Redbeet Interactive,Axolot Games,"Jun 20, 2022",Very Positive,93,,226944,$29.99,$4.79,55,Mature,N,N,Action
Mass Effect™: Andromeda Deluxe Edition,BioWare,Electronic Arts,"Mar 20, 2017",Mostly Positive,77,72,10273,$29.99,$16.49,45,No Rating,N,N,Action
Isonzo,M2H,BlackMill Games,"Sep 13, 2022",Very Positive,85,73,5575,$44.99,,13,Mature,N,N,Action
DayZ,Bohemia Interactive,Bohemia Interactive,"Dec 13, 2018",Mostly Positive,74,,287390,$19.99,,72,No Rating,N,N,Action
Pizza Tower,Tour De Pizza,Tour De Pizza,"Jan 26, 2023",Overwhelmingly Positive,98,,24413,$59.99,,29,Mature,N,N,Action
The Last of Us™ Part I,Naughty Dog LLC,PlayStation PC LLC,"Mar 28, 2023",Mixed,55,,19087,$19.99,$9.99,0,Teen,N,N,Action
The Sims™ 3,The Sims Studio,Electronic Arts,"Jun 2, 2009",Very Positive,86,86,26277,$19.99,$3.99,49,No Rating,N,N,Action
Metro: Last Light Redux,4A Games,Deep Silver,"Aug 25, 2014",Very Positive,89,76,49405,$19.99,$14.99,33,No Rating,N,N,Action
Ghostlore,Andrew Teo,AT-AT Games,"May 17, 2023",Very Positive,85,,255,$24.99,,118,Teen,N,N,Action
Risk of Rain 2,Hopoo Games,Gearbox Publishing,"Aug 11, 2020",Overwhelmingly Positive,96,85,157427,$13.99,,146,No Rating,N,N,Action
Bloons TD 6,Ninja Kiwi,Ninja Kiwi,"Dec 17, 2018",Overwhelmingly Positive,97,,223032,$59.99,$47.99,32,Mature,N,N,Action
High On Life,"Squanch Games, Inc."," Squanch Games, Inc.","Dec 13, 2022",Very Positive,89,,9201,$19.99,,84,Mature,N,N,Action
Fallout 4,Bethesda Game Studios,Bethesda Softworks,"Nov 9, 2015",Very Positive,83,84,197215,$39.99,,171,No Rating,N,N,Action
Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,"Jun 6, 2016",Very Positive,92,83,165373,$19.99,,0,No Rating,N,Y,Action
Valheim,Iron Gate AB,Coffee Stain Publishing,"Feb 2, 2021",Overwhelmingly Positive,95,,347345,$19.99,,32,Teen,N,N,Action
ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,"Aug 27, 2017",Very Positive,83,70,479253,$59.99,,44,Mature,N,N,Action
Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,"Dec 9, 2020",Mostly Positive,79,86,536106,$49.99,,0,No Rating,N,N,Action
Squad,Offworld Industries,Offworld Industries,"Sep 23, 2020",Very Positive,87,,99552,$19.99,,0,No Rating,N,Y,Action
Silica,Bohemia Incubator,Bohemia Interactive,"May 3, 2023",Mostly Positive,79,,1547,$9.99,,115,No Rating,N,N,Action
Terraria,Re-Logic,Re-Logic,"May 16, 2011",Overwhelmingly Positive,97,83,898176,$19.99,$17.99,18,No Rating,N,Y,Action
